tanggal,kode_provinsi,provinsi,beras_medium,bawang_merah,bawang_putih_bonggol,cabai_merah_keriting,telur_ayam_ras,gula_konsumsi,minyak_goreng_kemasan_sederhana
01/06/2024,1,Aceh,13300.0,53840.0,41190.0,52460.0,26640.0,18470.0,18610.0
02/06/2024,1,Aceh,13340.0,53920.0,40750.0,52270.0,26600.0,18490.0,18520.0
03/06/2024,1,Aceh,13200.0,51920.0,41410.0,52860.0,26480.0,18560.0,18500.0
04/06/2024,1,Aceh,13240.0,51000.0,41300.0,53310.0,26530.0,18540.0,18580.0
05/06/2024,1,Aceh,13250.0,51390.0,41200.0,53510.0,26380.0,18540.0,18580.0
06/06/2024,1,Aceh,13200.0,50240.0,40870.0,53500.0,26410.0,18510.0,18610.0
07/06/2024,1,Aceh,13240.0,50390.0,41000.0,53070.0,26330.0,18510.0,18570.0
08/06/2024,1,Aceh,13240.0,49680.0,41000.0,53900.0,26330.0,18510.0,18610.0
09/06/2024,1,Aceh,13260.0,49320.0,40750.0,53750.0,26260.0,18450.0,18640.0
10/06/2024,1,Aceh,13270.0,49290.0,41250.0,55700.0,26270.0,18450.0,18560.0
11/06/2024,1,Aceh,13330.0,48270.0,41260.0,56950.0,26370.0,18490.0,18350.0
12/06/2024,1,Aceh,13270.0,47790.0,40820.0,56450.0,26560.0,18470.0,18560.0
13/06/2024,1,Aceh,13310.0,47650.0,40790.0,58970.0,26670.0,18420.0,18530.0
14/06/2024,1,Aceh,13350.0,48340.0,40440.0,62430.0,26520.0,18360.0,18640.0
15/06/2024,1,Aceh,13310.0,49280.0,40880.0,64930.0,26590.0,18330.0,18570.0
16/06/2024,1,Aceh,13310.0,49930.0,41400.0,67420.0,26770.0,18710.0,18640.0
17/06/2024,1,Aceh,12500.0,44000.0,40000.0,60000.0,25000.0,19000.0,18000.0
18/06/2024,1,Aceh,12500.0,49190.0,40000.0,60000.0,25740.0,18000.0,18970.0
19/06/2024,1,Aceh,13300.0,49180.0,41140.0,63120.0,26500.0,18310.0,18610.0
20/06/2024,1,Aceh,13260.0,48810.0,40850.0,63710.0,26910.0,18470.0,18680.0
01/06/2024,2,Sumatera Utara,13970.0,49800.0,40870.0,47650.0,28080.0,18100.0,17950.0
02/06/2024,2,Sumatera Utara,13990.0,49260.0,40500.0,47370.0,27690.0,18020.0,18000.0
03/06/2024,2,Sumatera Utara,13970.0,48680.0,40580.0,48460.0,27800.0,18110.0,17830.0
04/06/2024,2,Sumatera Utara,13890.0,48930.0,40220.0,48180.0,27900.0,17960.0,17920.0
05/06/2024,2,Sumatera Utara,13940.0,48760.0,40930.0,48720.0,27610.0,18040.0,17880.0
06/06/2024,2,Sumatera Utara,13940.0,48400.0,40870.0,49800.0,27710.0,18070.0,17980.0
07/06/2024,2,Sumatera Utara,13980.0,47370.0,40330.0,49810.0,27680.0,18080.0,17960.0
08/06/2024,2,Sumatera Utara,13940.0,46790.0,40380.0,49750.0,27910.0,18090.0,17880.0
09/06/2024,2,Sumatera Utara,13900.0,46240.0,39610.0,50270.0,27730.0,18030.0,17820.0
10/06/2024,2,Sumatera Utara,13920.0,45550.0,40520.0,51700.0,27580.0,17990.0,17850.0
11/06/2024,2,Sumatera Utara,13980.0,45840.0,40400.0,52050.0,27610.0,18020.0,17800.0
12/06/2024,2,Sumatera Utara,13960.0,45620.0,40270.0,53270.0,27740.0,17980.0,17720.0
13/06/2024,2,Sumatera Utara,13900.0,45940.0,40160.0,55350.0,27700.0,17970.0,17900.0
14/06/2024,2,Sumatera Utara,13900.0,46040.0,40230.0,56140.0,27700.0,18020.0,17920.0
15/06/2024,2,Sumatera Utara,13910.0,47080.0,40650.0,56120.0,27830.0,18190.0,17660.0
16/06/2024,2,Sumatera Utara,13940.0,45500.0,40470.0,56180.0,27950.0,18010.0,17730.0
17/06/2024,2,Sumatera Utara,13910.0,49450.0,43810.0,59310.0,28280.0,18440.0,17750.0
18/06/2024,2,Sumatera Utara,13480.0,49820.0,43310.0,58050.0,28260.0,18520.0,18880.0
19/06/2024,2,Sumatera Utara,13960.0,44710.0,39970.0,58010.0,27660.0,17960.0,17990.0
20/06/2024,2,Sumatera Utara,13890.0,44710.0,40500.0,56570.0,27740.0,17900.0,17650.0
01/06/2024,3,Sumatera Barat,14990.0,43560.0,40250.0,56860.0,29490.0,18330.0,17710.0
02/06/2024,3,Sumatera Barat,14890.0,43200.0,40180.0,56540.0,29380.0,18310.0,17610.0
03/06/2024,3,Sumatera Barat,14920.0,43180.0,40030.0,58330.0,29390.0,18280.0,17580.0
04/06/2024,3,Sumatera Barat,15050.0,43010.0,39490.0,59690.0,29350.0,18330.0,17530.0
05/06/2024,3,Sumatera Barat,14850.0,43160.0,39340.0,58950.0,29040.0,18200.0,17510.0
06/06/2024,3,Sumatera Barat,14810.0,42670.0,39380.0,59570.0,29170.0,18210.0,17510.0
07/06/2024,3,Sumatera Barat,14790.0,42020.0,40140.0,60970.0,29160.0,18300.0,17410.0
08/06/2024,3,Sumatera Barat,14910.0,41690.0,39790.0,59670.0,29470.0,18320.0,17730.0
